OBJECTID,GEOID,STATE,COUNTY,TRACT,LOWMOD,LOWMODUNIV,LOWMODPCT,UCLMOD,UCLMODU,UCLMODPCT,Shape__Area,Shape__Length
14534,48439113215,48,439,113215,1300.0,4865.0,26.72,,,,0.00030673258766,0.076640004995132
14541,48439113924,48,439,113924,1470.0,4970.0,29.58,,,,0.0001527485237602,0.0589082189242062
14542,48439113102,48,439,113102,1850.0,5070.0,36.49,,,,0.0011298198637632,0.16278507746926
14543,48439113104,48,439,113104,1685.0,3130.0,53.83,,,,0.0001207809521019,0.0607107490729844
14555,48439102201,48,439,102201,1450.0,3585.0,40.45,,,,0.0004305634433876,0.118280327556078
14556,48439102202,48,439,102202,655.0,2650.0,24.72,,,,0.0001808943079595,0.0961685914544054
14576,48439101500,48,439,101500,2665.0,4580.0,58.19,,,,0.0003886619597324,0.099858723440054
14579,48439103800,48,439,103800,2890.0,3405.0,84.88,,,,0.0002797926513267,0.0813828228656217
14580,48439104201,48,439,104201,685.0,3045.0,22.5,,,,0.0003261427584675,0.0945024986684229
14581,48439113509,48,439,113509,2700.0,4405.0,61.29,,,,0.0002414972650512,0.062166018386442
14582,48439113510,48,439,113510,1560.0,4115.0,37.91,,,,0.000296382407896,0.0687296586624928
14622,48439111405,48,439,111405,1025.0,2155.0,47.56,,,,0.0017123850409461,0.248701992867858
14641,48439113111,48,439,113111,2940.0,4310.0,68.21,,,,0.0001378727406518,0.0687851005248198
14642,48439113624,48,439,113624,660.0,4050.0,16.3,,,,0.0002369951489527,0.0789529404503754
14661,48439113625,48,439,113625,490.0,3265.0,15.01,,,,0.0002007968698762,0.0732388296716884
14662,48439104504,48,439,104504,2610.0,2855.0,91.42,,,,0.0002841179598362,0.0898978963069097
14672,48439104900,48,439,104900,1195.0,2955.0,40.44,,,,0.0002352939759475,0.0668678128366989
